_id,Summary
67299ba101063176805e7e86,Returns the rotational inertia of the body about the local origin.
67299ba101063176805e7e87,Sets the y-coordinate of this circle.
67299ba101063176805e7e88,Get the default currency time limit for this assembler.
67299ba101063176805e7e89,Wraps this bucket collector into a regular collector.
67299ba101063176805e7e8a,"Set the default value for HTML escaping , to be put into the current PageContext . This can be overridden by page - specific attributes ."
67299ba101063176805e7e8b,Returns the configured DataSource.
67299ba101063176805e7e8c,Set the types to use the attribute for instead of the element value .
67299ba101063176805e7e8d,Returns the reader idle time in milliseconds by converting the reader idle time in nanoseconds to milliseconds using TimeUnit.
67299ba101063176805e7e8e,Creates a new builder for an executable hint with the specified method name and parameter types.
67299ba101063176805e7e8f,Creates a new double field with the given name.
67299ba101063176805e7e90,"Creates a new enum setting with the given key, fallback setting, validator, and properties."
67299ba101063176805e7e91,Set the MessageCodesResolver to use for this DataBinder . Default is the one configured on the DataBinderFactory .
67299ba101063176805e7e92,Set the root object and its type descriptor for this evaluation context.
67299ba101063176805e7e93,Creates a new Name object with the given name.
67299ba101063176805e7e94,"Returns the first element of this list, or null if the list is empty."
67299ba101063176805e7e95,Set the number of digits after the decimal separator.
67299ba101063176805e7e96,Create a physical operation from a source operator factory and layout.
67299ba101063176805e7e97,Creates the directories for the extracted content.
67299ba101063176805e7e98,Serializes the enrichment to the given channel .
67299ba101063176805e7e99,Returns the job manager instance.
67299ba101063176805e7e9a,Set the port to which the relay will connect.
67299ba101063176805e7e9b,Returns a builder for the given object class.
67299ba101063176805e7e9c,"Sets the cell to grow in both directions, filling the available space."
67299ba101063176805e7e9d,Adds an initialized type to the frame.
67299ba101063176805e7e9e,Executes a shard operation on a specific shard routing.
67299ba101063176805e7e9f,Creates a new PhraseSuggestionBuilder for the given fieldname.
67299ba101063176805e7ea0,Handles the given server request and returns a result.
67299ba101063176805e7ea1,Returns the number of bytes per value for the given term .
67299ba101063176805e7ea2,Returns the join field for the child document with the given parent type.
67299ba101063176805e7ea3,Returns the first item in the array. Throws IllegalStateException if the array is empty.
67299ba101063176805e7ea4,Sets the indices to be closed.
67299ba101063176805e7ea5,Checks if the given flags are set in this ClassWriter's flags field.
67299ba101063176805e7ea6,Set the application directory for the build request .
67299ba101063176805e7ea7,Resolves the request by updating the cluster state.
67299ba101063176805e7ea8,Set the name of the default theme to use if no theme cookie found .
67299ba101063176805e7ea9,Returns a collection of common filter settings that can be used by plugins.
67299ba101063176805e7eaa,Translates the polygon by the given amounts . This is equivalent to adding the given amounts to the x and y coordinates of each vertex . The polygon's bounding rectangle is recalculated if it has been computed before .
67299ba101063176805e7eab,Not available.
67299ba101063176805e7eac,Returns the number of elements between the current position and the limit.
67299ba101063176805e7ead,Sets whether an alias is required for the index request.
67299ba101063176805e7eae,Checks if the map is a constant.
67299ba101063176805e7eaf,Returns the location of the unsupported config data.
67299ba101063176805e7eb0,Set the maximum word length for the more like this query.
67299ba101063176805e7eb1,Sets whether the button should be disabled or not.
67299ba101063176805e7eb2,Sets the conditions for the rollover request.
67299ba101063176805e7eb3,Create a new hourly schedule with the given minutes.
67299ba101063176805e7eb4,Appends a block to the page and returns a new page with the added block.
67299ba101063176805e7eb5,Creates a new CharBuffer with the specified capacity.
67299ba101063176805e7eb6,abstract String formatInfo(ThreadPool.Info info);
67299ba101063176805e7eb7,"Checks if the query type is SCHEMA_WRITE and the execution is not EXPLAIN, indicating that the schema can be updated."
