_id,Summary
67299dbda23f7e5639814e0e,Perform the actual HTTP request@throws Exception
67299dbda23f7e5639814e0f,On failure.@param e the e
67299dbda23f7e5639814e10,Track the failure.
67299dbda23f7e5639814e11,Returns the REST client settings.
67299dbda23f7e5639814e12,Runs a script.@param script the script to run@return the result of the script
67299dbda23f7e5639814e13,Run a Docker container.@param distribution the distribution@return the installation
67299dbda23f7e5639814e14,Runs an elasticsearch container and returns it.@param distribution@param builder@return
67299dbda23f7e5639814e15,Creates the parameters.@param executeableSectionRegistry the executeable section registry@return the parameters@throws Exception the exception
67299dbda23f7e5639814e16,Start the shards.@param allocationService the allocation service@param clusterState the cluster state@param routingNode the routing node@return the cluster state
67299dbda23f7e5639814e17,Connect to the given node.@param service@param node@throws ConnectTransportException
67299dbda23f7e5639814e18,Stop a random data node.
67299dbda23f7e5639814e19,Setup a transport service with thread pool executor.@return a transport service
67299dbda23f7e5639814e1a,Rewrite query.
67299dbda23f7e5639814e1b,Asserts that the code block is busy.@param codeBlock the code block@throws Exception the exception
67299dbda23f7e5639814e1c,Gets the port range.@return the port range
67299dbda23f7e5639814e1d,Secure random fips@return SecureRandom@throws NoSuchAlgorithmException
67299dbda23f7e5639814e1e,Creates an index service.@param index the index name@return the index service
67299dbda23f7e5639814e1f,Add unresponsive rule.@param transportService the transport service@param duration the duration
67299dbda23f7e5639814e20,Ensures that the cluster is connected.
67299dbda23f7e5639814e21,Wait for pending tasks.@param restClient the rest client@throws Exception the exception
67299dbda23f7e5639814e22,"Check to see if all features are supported.@return true if features are reset, false otherwise."
67299dbda23f7e5639814e23,Returns the rest admin settings.@return the settings
67299dbda23f7e5639814e24,Updates cluster settings.@param settings new settings@throws IOException
67299dbda23f7e5639814e25,Dispatches a REST request.
67299dbda23f7e5639814e26,Lookup a binary operator for a binary type.@param classA the binary type@param classB the binary type@param name the binary operator name@return the binary operator
67299dbda23f7e5639814e27,Returns the index normalizer for the given receiver class.
67299dbda23f7e5639814e28,Searches for the first result in the collection and returns the result.@param <T> the type parameter@param receiver the collection@param function the function@return the result
67299dbda23f7e5639814e29,Visits a userExpression node.@param userExpressionNode@param semanticScope
67299dbda23f7e5639814e2a,Adds an additional field to the map.@param additionalFields@param property@param value
67299dbda23f7e5639814e2b,Sets whether or not the query should ignore unmapped.@param ignoreUnmapped true to ignore unmapped@return this builder
67299dbda23f7e5639814e2c,Test if a decoded float is encoded.
67299dbda23f7e5639814e2d,Stops the apm server.
67299dbda23f7e5639814e2e,Delete a path.@param path the path to delete@throws IOException
67299dbda23f7e5639814e2f,Creates a hard link between the source and destination directories.
67299dbda23f7e5639814e30,Register a new client.@throws IOException
67299dbda23f7e5639814e31,Pauses the watch execution.
67299dbda23f7e5639814e32,Removes all previous allocations from the map.
67299dbda23f7e5639814e33,Add a watch to the trigger.
67299dbda23f7e5639814e34,Deletes a delete.@param shardId@param delete@return
67299dbda23f7e5639814e35,Filters the given settings.@param settings the settings@return the filtered settings
67299dbda23f7e5639814e36,"Registers a new execution.@param id          the identifier of the new execution@param execution the new execution@return {@code true} if the execution was successful, {@code false} otherwise"
67299dbda23f7e5639814e37,Pauses the given Runnable and returns the number of paused executions.
67299dbda23f7e5639814e38,Clears all executions of the given stopped listener.@param stoppedListener The listener to be notified.@return The number of cancelled executions.
67299dbda23f7e5639814e39,Creates and returns the list of TriggeredWatches and contexts.
67299dbda23f7e5639814e3a,Clear old executions.
67299dbda23f7e5639814e3b,Gets the concrete index.@param name the name@param metadata the metadata@return the concrete index
67299dbda23f7e5639814e3c,Check the next scheduled time.@param time@return
67299dbda23f7e5639814e3d,Remove element from map.@param sourceMap the source map@param key          the key@param type        the type@param <T>         the type@return the value
67299dbda23f7e5639814e3e,Moves the model to service settings.@param taskSettings task settings@param serviceSettings service settings
67299dbda23f7e5639814e3f,Position parser at the next token in the parser.@param parser@param field@param errorMsgTemplate@throws IOException
67299dbda23f7e5639814e40,Returns the time to wait for the given number of tokens.
67299dbda23f7e5639814e41,Reserves the given number of tokens.@param tokens Number of tokens to reserve@return TimeValue
67299dbda23f7e5639814e42,Checks if the shard status is complete.@throws Exception
67299dbda23f7e5639814e43,Synchronously renew a new lease.@param leaderShardId                            the leader shard id@param retentionLeaseId                            the retention lease id@param retainingSequenceNumber                             the retaining sequence number@param remoteClient                                       the remote client@param timeout                                                       the timeout@return the optional
67299dbda23f7e5639814e44,Validates the settings.@param leaderIndexSettings the leader index settings@param followerIndexSettings the follower index settings
67299dbda23f7e5639814e45,Returns a view of the specified list.
67299dbda23f7e5639814e46,Checks to see if there are more candidates in the given stage.@param stage the stage@return true if there are more candidates
67299dbda23f7e5639814e47,Returns the substring between left and right@param string@param left@param right@param greedy@param caseInsensitive@return
67299dbda23f7e5639814e48,Marks a policy for retrieval.@param policyName@param index@param executionState@param e
