_id,Summary
67299ba101063176805e7e86,"public final float getInertia () {
		return m_I + m_mass * (m_sweep.localCenter.x * m_sweep.localCenter.x + m_sweep.localCenter.y * m_sweep.localCenter.y);
	}"
67299ba101063176805e7e87,"public void setY (float y) {
		this.y = y;
	}"
67299ba101063176805e7e88,"@Nullable
	protected Integer getDefaultCurrencyTimeLimit() {
		return this.defaultCurrencyTimeLimit;
	}"
67299ba101063176805e7e89,"public final Collector asCollector() {
        return new BucketCollectorWrapper(this);
    }"
67299ba101063176805e7e8a,"public void setDefaultHtmlEscape(boolean defaultHtmlEscape) {
		this.defaultHtmlEscape = defaultHtmlEscape;
	}"
67299ba101063176805e7e8b,"protected final DataSource getDataSource() {
		return this.dataSource;
	}"
67299ba101063176805e7e8c,"public void setUseAttributeForTypes(Class<?>... useAttributeForTypes) {
		this.useAttributeForTypes = useAttributeForTypes;
	}"
67299ba101063176805e7e8d,"public long getReaderIdleTimeInMillis() {
        return TimeUnit.NANOSECONDS.toMillis(readerIdleTimeNanos);
    }"
67299ba101063176805e7e8e,"static Builder ofMethod(String name, List<TypeReference> parameterTypes) {
		return new Builder(name, parameterTypes);
	}"
67299ba101063176805e7e8f,"protected NumberFieldMapper.NumberFieldType doubleField(String name) {
        return new NumberFieldMapper.NumberFieldType(name, NumberFieldMapper.NumberType.DOUBLE);
    }"
67299ba101063176805e7e90,"public static <T extends Enum<T>> Setting<T> enumSetting(
        Class<T> clazz,
        String key,
        Setting<T> fallbackSetting,
        Validator<T> validator,
        Property... properties
    ) {
        return new Setting<>(
            new SimpleKey(key),
            fallbackSetting,
            fallbackSetting::getRaw,
            e -> Enum.valueOf(clazz, e.toUpperCase(Locale.ROOT)),
            validator,
            properties
        );
    }"
67299ba101063176805e7e91,"public void setMessageCodesResolver(MessageCodesResolver messageCodesResolver) {
		this.messageCodesResolver = messageCodesResolver;
	}"
67299ba101063176805e7e92,"public Builder withTypedRootObject(Object rootObject, TypeDescriptor typeDescriptor) {
			this.rootObject = new TypedValue(rootObject, typeDescriptor);
			return this;
		}"
67299ba101063176805e7e93,"public static Name of(String name) {
        return new Name(name);
    }"
67299ba101063176805e7e94,"@SuppressWarnings(""unchecked"")
    public V getFirst() {
        if (firstKey < lastKey) {
            return (V) firstChunk.values[((int) firstKey) & (chunkSize - 1)];
        } else {
            return null;
        }
    }"
67299ba101063176805e7e95,"public void setFractionDigits(int fractionDigits) {
		this.fractionDigits = fractionDigits;
	}"
67299ba101063176805e7e96,"static PhysicalOperation fromSource(SourceOperatorFactory sourceOperatorFactory, Layout layout) {
            return new PhysicalOperation(sourceOperatorFactory, layout);
        }"
67299ba101063176805e7e97,void createDirectories() throws IOException;
67299ba101063176805e7e98,public abstract void serialize(WritableChannel channel) throws IOException;
67299ba101063176805e7e99,"public JobManager getJobManager() {
        if (instance == null) {
            throw new ElasticsearchException(""Tried to get job manager although Machine Learning is disabled"");
        }
        return instance;
    }"
67299ba101063176805e7e9a,"public StompBrokerRelayRegistration setRelayPort(int relayPort) {
		this.relayPort = relayPort;
		return this;
	}"
67299ba101063176805e7e9b,"public static <T> Builder<T> on(Class<T> objectClass) {
		return new Builder<>(objectClass);
	}"
67299ba101063176805e7e9c,"public Cell<T> grow () {
		expandX = onei;
		expandY = onei;
		fillX = onef;
		fillY = onef;
		return this;
	}"
67299ba101063176805e7e9d,"private void addInitializedType(final int abstractType) {
    // Create and/or resize the initializations array if necessary.
    if (initializations == null) {
      initializations = new int[2];
    }
    int initializationsLength = initializations.length;
    if (initializationCount >= initializationsLength) {
      int[] newInitializations =
          new int[Math.max(initializationCount + 1, 2 * initializationsLength)];
      System.arraycopy(initializations, 0, newInitializations, 0, initializationsLength);
      initializations = newInitializations;
    }
    // Store the abstract type.
    initializations[initializationCount++] = abstractType;
  }"
67299ba101063176805e7e9e,"protected abstract void shardOperation(
        Request request,
        ShardRouting shardRouting,
        Task task,
        ActionListener<ShardOperationResult> listener
    );"
67299ba101063176805e7e9f,"public static PhraseSuggestionBuilder phraseSuggestion(String fieldname) {
        return new PhraseSuggestionBuilder(fieldname);
    }"
67299ba101063176805e7ea0,T handle(ServerRequest request) throws Exception;
67299ba101063176805e7ea1,"@Override
        public long bytesPerValue(BytesRef term) {
            if (term == null) {
                return 0;
            }
            long bytes = term.length;
            // 64 bytes for miscellaneous overhead
            bytes += 64;
            // Seems to be about a 1.5x compression per term/ord, plus 1 for some wiggle room
            bytes = (long) ((double) bytes / 1.5) + 1;
            return bytes;
        }"
67299ba101063176805e7ea2,"public String childJoinField(String parentType) {
        return joinField + ""#"" + parentType;
    }"
67299ba101063176805e7ea3,"public byte first () {
		if (size == 0) throw new IllegalStateException(""Array is empty."");
		return items[0];
	}"
67299ba101063176805e7ea4,"@Override
    public CloseIndexRequest indices(String... indices) {
        this.indices = indices;
        return this;
    }"
67299ba101063176805e7ea5,"public boolean hasFlags(final int flags) {
    return (this.flags & flags) == flags;
  }"
67299ba101063176805e7ea6,"public BuildRequest withApplicationDirectory(String applicationDirectory) {
		Assert.notNull(applicationDirectory, ""ApplicationDirectory must not be null"");
		return new BuildRequest(this.name, this.applicationContent, this.builder, this.runImage, this.creator, this.env,
				this.cleanCache, this.verboseLogging, this.pullPolicy, this.publish, this.buildpacks, this.bindings,
				this.network, this.tags, this.buildWorkspace, this.buildCache, this.launchCache, this.createdDate,
				applicationDirectory, this.securityOptions, this.trustBuilder);
	}"
67299ba101063176805e7ea7,"protected abstract void resolveRequest(ClusterState state, Request request);"
67299ba101063176805e7ea8,"public void setDefaultThemeName(String defaultThemeName) {
		this.defaultThemeName = defaultThemeName;
	}"
67299ba101063176805e7ea9,"public static Collection<PluginConfigSpec<?>> commonFilterSettings() {
        return Arrays.asList(ADD_FIELD_CONFIG, ADD_TAG_CONFIG, ENABLE_METRIC_CONFIG, ID_CONFIG,
                PERIODIC_FLUSH_CONFIG , REMOVE_FIELD_CONFIG, REMOVE_TAG_CONFIG);
    }"
67299ba101063176805e7eaa,"public void translate (float x, float y) {
		this.x += x;
		this.y += y;
		dirty = true;
	}"
67299ba101063176805e7eab,void fileMapped(PagedFile pagedFile);
67299ba101063176805e7eac,"public final int remaining () {
		return limit - position;
	}"
67299ba101063176805e7ead,"public IndexRequestBuilder setRequireAlias(boolean requireAlias) {
        this.requireAlias = requireAlias;
        return this;
    }"
67299ba101063176805e7eae,"public boolean isConstant() {
		return this.constant != null;
	}"
67299ba101063176805e7eaf,"public ConfigDataLocation getLocation() {
		return this.location;
	}"
67299ba101063176805e7eb0,"public void setMaxWordLen(int maxWordLen) {
        this.maxWordLen = maxWordLen;
    }"
67299ba101063176805e7eb1,"public void setDisabled(boolean disabled) {
		this.disabled = disabled;
	}"
67299ba101063176805e7eb2,"public void setConditions(RolloverConditions conditions) {
        this.conditions = conditions;
    }"
67299ba101063176805e7eb3,"public static HourlySchedule hourly(int... minutes) {
        return new HourlySchedule(minutes);
    }"
67299ba101063176805e7eb4,"public Page appendBlock(Block block) {
        return new Page(this, new Block[] { block });
    }"
67299ba101063176805e7eb5,"public static CharBuffer newCharBuffer (int capacity) {
		return new ReadWriteCharArrayBuffer(capacity);
	}"
67299ba101063176805e7eb6,abstract String formatInfo(ThreadPool.Info info);
67299ba101063176805e7eb7,"public boolean canUpdateSchema() {
        return type == QueryType.SCHEMA_WRITE && execution != Execution.EXPLAIN;
    }"
67299ba101063176805e7eb8,"public static void installMock(FileSystem mock) {
        PathUtils.DEFAULT = mock;
    }"
67299ba101063176805e7eb9,"@Nullable
	public Duration getInitialDelayDuration() {
		return this.initialDelay;
	}"
67299ba101063176805e7eba,"public BuildRequest withLaunchCache(Cache launchCache) {
		Assert.notNull(launchCache, ""LaunchCache must not be null"");
		return new BuildRequest(this.name, this.applicationContent, this.builder, this.runImage, this.creator, this.env,
				this.cleanCache, this.verboseLogging, this.pullPolicy, this.publish, this.buildpacks, this.bindings,
				this.network, this.tags, this.buildWorkspace, this.buildCache, launchCache, this.createdDate,
				this.applicationDirectory, this.securityOptions, this.trustBuilder);
	}"
67299ba101063176805e7ebb,String readLine(String prompt) throws IOException;
67299ba101063176805e7ebc,"public static boolean isSequenceWithNoBits(int word)
  {
    // ""word"" must be 0?00000*
    return (word & 0xBE000000) == 0x00000000;
  }"
67299ba101063176805e7ebd,"public WebServiceTemplateBuilder setMarshaller(Marshaller marshaller) {
		return new WebServiceTemplateBuilder(this.detectHttpMessageSender, this.interceptors, this.internalCustomizers,
				this.customizers, this.messageSenders, marshaller, this.unmarshaller, this.destinationProvider,
				this.transformerFactoryClass, this.messageFactory);
	}"
