_id,Summary
6799b7809cd06e9ec13c14bb,"def find_module(module, path=None, imp=None):
    """"""Version of :func:`imp.find_module` supporting dots.""""""
    if imp is None:
        imp = import_module
    with cwd_in_path():
        try:
            return imp(module)
        except ImportError:
            # Raise a more specific error if the problem is that one of the
            # dot-separated segments of the module name is not a package.
            if '.' in module:
                parts = module.split('.')
                for i, part in enumerate(parts[:-1]):
                    package = '.'.join(parts[:i + 1])
                    try:
                        mpart = imp(package)
                    except ImportError:
                        # Break out and re-raise the original ImportError
                        # instead.
                        break
                    try:
                        mpart.__path__
                    except AttributeError:
                        raise NotAPackage(package)
            raise"
6799b7809cd06e9ec13c14bc,"def run_then_revoke():
    """"""Runs the workflow and lets the waiting task run for a while.
    Then, the waiting task is revoked by its stamped header.

    The expected outcome is that the canvas will be calculated to the end,
    but the waiting task will be revoked and terminated *during its run*.

    See worker logs for more details.
    """"""
    canvas = prepare_workflow()
    result = canvas.delay()
    print('Wait 5 seconds, then revoke the last task by its stamped header: ""mystamp"": ""I am a stamp!""')
    sleep(5)
    print('Revoking the last task...')
    revoke_by_headers(result, terminate=True)"
6799b7809cd06e9ec13c14bd,"def synloop(obj, connection, consumer, blueprint, hub, qos,
            heartbeat, clock, hbrate=2.0, **kwargs):
    """"""Fallback blocking event loop for transports that doesn't support AIO.""""""
    RUN = bootsteps.RUN
    on_task_received = obj.create_task_handler()
    perform_pending_operations = obj.perform_pending_operations
    heartbeat_error = [None]
    if getattr(obj.pool, 'is_green', False):
        heartbeat_error = _enable_amqheartbeats(obj.timer, connection, rate=hbrate)
    consumer.on_message = on_task_received
    consumer.consume()

    obj.on_ready()

    def _loop_cycle():
        """"""
        Perform one iteration of the blocking event loop.
        """"""
        if heartbeat_error[0] is not None:
            raise heartbeat_error[0]
        if qos.prev != qos.value:
            qos.update()
        try:
            perform_pending_operations()
            connection.drain_events(timeout=2.0)
        except socket.timeout:
            pass
        except OSError:
            if blueprint.state == RUN:
                raise

    while blueprint.state == RUN and obj.connection:
        try:
            state.maybe_shutdown()
        finally:
            _loop_cycle()"
6799b7809cd06e9ec13c14be,"def publish(self, type, fields, producer,
                blind=False, Event=Event, **kwargs):
        """"""Publish event using custom :class:`~kombu.Producer`.

        Arguments:
            type (str): Event type name, with group separated by dash (`-`).
                fields: Dictionary of event fields, must be json serializable.
            producer (kombu.Producer): Producer instance to use:
                only the ``publish`` method will be called.
            retry (bool): Retry in the event of connection failure.
            retry_policy (Mapping): Map of custom retry policy options.
                See :meth:`~kombu.Connection.ensure`.
            blind (bool): Don't set logical clock value (also don't forward
                the internal logical clock).
            Event (Callable): Event type used to create event.
                Defaults to :func:`Event`.
            utcoffset (Callable): Function returning the current
                utc offset in hours.
        """"""
        clock = None if blind else self.clock.forward()
        event = Event(type, hostname=self.hostname, utcoffset=utcoffset(),
                      pid=self.pid, clock=clock, **fields)
        with self.mutex:
            return self._publish(event, producer,
                                 routing_key=type.replace('-', '.'), **kwargs)"
6799b7809cd06e9ec13c14bf,"def kill_worker(
        self,
        worker: CeleryTestWorker,
        method: WorkerKill.Method,
    ) -> None:
        """"""Kill a Celery worker.

        Args:
            worker (CeleryTestWorker): Worker to kill.
            method (WorkerKill.Method): The method to kill the worker.
        """"""
        if method == WorkerKill.Method.DOCKER_KILL:
            worker.kill()

            assert worker.container.status == ""exited"", (
                f""Worker container should be in 'exited' state after kill, ""
                f""but is in '{worker.container.status}' state instead.""
            )

        if method == WorkerKill.Method.CONTROL_SHUTDOWN:
            control: Control = worker.app.control
            control.shutdown(destination=[worker.hostname()])
            worker.container.reload()

        if method == WorkerKill.Method.SIGTERM:
            worker.kill(signal=""SIGTERM"")

        if method == WorkerKill.Method.SIGQUIT:
            worker.kill(signal=""SIGQUIT"")"
6799b7809cd06e9ec13c14c0,"def terminate(self, in_sighandler=False):
        """"""Not so graceful shutdown of the worker server (Cold shutdown).""""""
        if self.blueprint.state != TERMINATE:
            self.signal_consumer_close()
            if not in_sighandler or self.pool.signal_safe:
                self._shutdown(warm=False)"
6799b7809cd06e9ec13c14c1,"def get_key_for_task(self, task_id, key=''):
        """"""Get the cache key for a task by id.""""""
        if not task_id:
            raise ValueError(f'task_id must not be empty. Got {task_id} instead.')
        return self._get_key_for(self.task_keyprefix, task_id, key)"
6799b7809cd06e9ec13c14c2,"def flatten_links(self):
        """"""Return a recursive list of dependencies.

        ""unchain"" if you will, but with links intact.
        """"""
        return list(itertools.chain.from_iterable(itertools.chain(
            [[self]],
            (link.flatten_links()
             for link in maybe_list(self.options.get('link')) or [])
        )))"
6799b7809cd06e9ec13c14c3,"def release(self, *args):
        """"""Release lock.""""""
        self.remove()"
6799b7809cd06e9ec13c14c4,"def registered(self, *taskinfoitems):
        """"""Return all registered tasks per worker.

        >>> app.control.inspect().registered()
        {'celery@node1': ['task1', 'task1']}
        >>> app.control.inspect().registered('serializer', 'max_retries')
        {'celery@node1': ['task_foo [serializer=json max_retries=3]', 'tasb_bar [serializer=json max_retries=3]']}

        Arguments:
            taskinfoitems (Sequence[str]): List of :class:`~celery.app.task.Task`
                                           attributes to include.

        Returns:
            Dict: Dictionary ``{HOSTNAME: [TASK1_INFO, ...]}``.
        """"""
        return self._request('registered', taskinfoitems=taskinfoitems)"
6799b7809cd06e9ec13c14c5,"def process_destructor(pid, exitcode):
    """"""Pool child process destructor.

    Dispatch the :signal:`worker_process_shutdown` signal.
    """"""
    signals.worker_process_shutdown.send(
        sender=None, pid=pid, exitcode=exitcode,
    )"
6799b7809cd06e9ec13c14c6,"def _forget(self, task_id):
        """"""Forget about result.""""""
        session = self.ResultSession()
        with session_cleanup(session):
            session.query(self.task_cls).filter(self.task_cls.task_id == task_id).delete()
            session.commit()"
6799b7809cd06e9ec13c14c7,"def _store_result(self, task_id, result, state,
                      traceback=None, request=None, **kwargs):
        """"""Store return value and state of an executed task.""""""
        self._get_connection(write=True)

        self._session.execute(self._write_stmt, (
            task_id,
            state,
            buf_t(self.encode(result)),
            self.app.now(),
            buf_t(self.encode(traceback)),
            buf_t(self.encode(self.current_task_children(request)))
        ))"
6799b7809cd06e9ec13c14c8,"def revoked(self):
        """"""Return list of revoked tasks.

        >>> app.control.inspect().revoked()
        {'celery@node1': ['16f527de-1c72-47a6-b477-c472b92fef7a']}

        Returns:
            Dict: Dictionary ``{HOSTNAME: [TASK_ID, ...]}``.
        """"""
        return self._request('revoked')"
6799b7809cd06e9ec13c14c9,"def TaskMessage(
    name,  # type: str
    id=None,  # type: str
    args=(),  # type: Sequence
    kwargs=None,  # type: Mapping
    callbacks=None,  # type: Sequence[Signature]
    errbacks=None,  # type: Sequence[Signature]
    chain=None,  # type: Sequence[Signature]
    shadow=None,  # type: str
    utc=None,  # type: bool
    **options  # type: Any
):
    # type: (...) -> Any
    """"""Create task message in protocol 2 format.""""""
    kwargs = {} if not kwargs else kwargs
    from kombu.serialization import dumps

    from celery import uuid
    id = id or uuid()
    message = Mock(name=f'TaskMessage-{id}')
    message.headers = {
        'id': id,
        'task': name,
        'shadow': shadow,
    }
    embed = {'callbacks': callbacks, 'errbacks': errbacks, 'chain': chain}
    message.headers.update(options)
    message.content_type, message.content_encoding, message.body = dumps(
        (args, kwargs, embed), serializer='json',
    )
    message.payload = (args, kwargs, embed)
    return message"
6799b7809cd06e9ec13c14ca,"def test_linking_stamped_sig(self, manager):
        """"""Test that linking a callback after stamping will stamp the callback correctly""""""

        assertion_result = False

        @task_received.connect
        def task_received_handler(sender=None, request=None, signal=None, **kwargs):
            nonlocal assertion_result
            link = request._Request__payload[2][""callbacks""][0]
            assertion_result = all(
                [stamped_header in link[""options""] for stamped_header in link[""options""][""stamped_headers""]]
            )

        class FixedMonitoringIdStampingVisitor(StampingVisitor):
            def __init__(self, msg_id):
                self.msg_id = msg_id

            def on_signature(self, sig, **headers):
                mtask_id = self.msg_id
                return {""mtask_id"": mtask_id}

        link_sig = identity.si(""link_sig"")
        stamped_pass_sig = identity.si(""passing sig"")
        stamped_pass_sig.stamp(visitor=FixedMonitoringIdStampingVisitor(str(uuid.uuid4())))
        stamped_pass_sig.link(link_sig)
        stamped_pass_sig.stamp(visitor=FixedMonitoringIdStampingVisitor(""1234""))
        stamped_pass_sig.apply_async().get(timeout=2)
        assert assertion_result"
6799b7809cd06e9ec13c14cb,"def test_task_with_pydantic_with_pydantic_not_installed(self):
        """"""Test configuring a task with Pydantic when pydantic is not installed.""""""

        with self.Celery() as app:
            @app.task(pydantic=True)
            def task():
                return

            # mock function will raise ModuleNotFoundError only if pydantic is imported
            def import_module(name, *args, **kwargs):
                if name == 'pydantic':
                    raise ModuleNotFoundError('Module not found.')
                return DEFAULT

            msg = r'^You need to install pydantic to use pydantic model serialization\.$'
            with patch(
                'celery.app.base.importlib.import_module',
                side_effect=import_module,
                wraps=importlib.import_module
            ):
                with pytest.raises(ImproperlyConfigured, match=msg):
                    task()"
6799b7809cd06e9ec13c14cc,"def bootsteps(ctx):
    """"""Display bootsteps graph.""""""
    worker = ctx.obj.app.WorkController()
    include = {arg.lower() for arg in ctx.args or ['worker', 'consumer']}
    if 'worker' in include:
        worker_graph = worker.blueprint.graph
        if 'consumer' in include:
            worker.blueprint.connect_with(worker.consumer.blueprint)
    else:
        worker_graph = worker.consumer.blueprint.graph
    worker_graph.to_dot(sys.stdout)"
6799b7809cd06e9ec13c14cd,"def test_on_worker_process_init_called(self):
        """"""Upon the initialization of a new solo worker pool a worker_process_init
        signal should be emitted""""""
        on_worker_process_init = Mock()
        signals.worker_process_init.connect(on_worker_process_init)
        solo.TaskPool()
        assert on_worker_process_init.call_count == 1"
6799b7809cd06e9ec13c14ce,"def hfloat(f, p=5):
    """"""Convert float to value suitable for humans.

    Arguments:
        f (float): The floating point number.
        p (int): Floating point precision (default is 5).
    """"""
    i = int(f)
    return i if i == f else '{0:.{p}}'.format(f, p=p)"
