_id,Summary
67299ba101063176805e7e86,Returns the local distance between the origin and the target.
67299ba101063176805e7e87,Sets the y - coordinate value.
67299ba101063176805e7e88,protected String getDefaultCurrencyTimeLimit ( ) { if ( defaultCurrencyTimeLimit == null )
67299ba101063176805e7e89,Returns a collector based on this bucket.
67299ba101063176805e7e8a,Sets whether to use HTML escape for the given string.
67299ba101063176805e7e8b,Returns the DataSource used to read the data.
67299ba101063176805e7e8c,Sets the use attribute for types.
67299ba101063176805e7e8d,Gets the reader idle time in milliseconds.
67299ba101063176805e7e8e,Creates a new builder for a method with the specified name and parameter types.
67299ba101063176805e7e8f,Map the given field to a double type.
67299ba101063176805e7e90,Constructs a setting for the given enum type.
67299ba101063176805e7e91,Sets the message codes resolver.
67299ba101063176805e7e92,Sets the root object to be used as a typed value.
67299ba101063176805e7e93,Creates a name from the given string.
67299ba101063176805e7e94,Returns the first value in the chunk.
67299ba101063176805e7e95,Sets the number of fractional digits.
67299ba101063176805e7e96,Creates a physical operation from a source.
67299ba101063176805e7e97,private void createDirectories ( ) throws IOException { if (! this. directory. exists (
67299ba101063176805e7e98,public void write ( WritableChannel channel ) throws IOException { if ( channel == null ) {
67299ba101063176805e7e99,Get the JobManager instance.
67299ba101063176805e7e9a,Set the relay port
67299ba101063176805e7e9b,Creates a new builder for the given object type.
67299ba101063176805e7e9c,Adds a new cell to the end of the cell.
67299ba101063176805e7e9d,Adds the abstract type to the initializations array.
67299ba101063176805e7e9e,This method is called when a shard operation is performed on a task.
67299ba101063176805e7e9f,Create a new phrase suggestion builder for the given field name.
67299ba101063176805e7ea0,public void handle ( ServerRequest request ) throws Exception { if ( request. getMethod ( )
67299ba101063176805e7ea1,Returns the number of bytes that can be read from the term
67299ba101063176805e7ea2,Returns the join field for a child
67299ba101063176805e7ea3,Returns the first item in the list.
67299ba101063176805e7ea4,Sets the indices to close.
67299ba101063176805e7ea5,Checks if the given flags are set.
67299ba101063176805e7ea6,Returns a copy of this BuildRequest with the application directory set to the given value.
67299ba101063176805e7ea7,protected void resolveRequest ( Request request ) { if ( request. isAsync ( ) )
67299ba101063176805e7ea8,Sets the default theme name.
67299ba101063176805e7ea9,Returns the set of common filter settings.
67299ba101063176805e7eaa,Translates the current position by the specified amount.
67299ba101063176805e7eab,public void fileMapped ( File file ) { if ( file == null ) { throw new
