_id,Summary
67299ba101063176805e7e86,Get the central rotational inertia of the body.
67299ba101063176805e7e87,"Sets the y-coordinate of circle center
@param y The y-coordinate"
67299ba101063176805e7e88,"Return default value for the JMX field ""currencyTimeLimit"", if any."
67299ba101063176805e7e89,Return this BucketCollector wrapped as a {@link Collector}
67299ba101063176805e7e8a,"Set the default value for HTML escaping,
to be put into the current PageContext."
67299ba101063176805e7e8b,"Returns the {@code DataSource} that will be initialized.
@return the initialization data source"
67299ba101063176805e7e8c,"Set types to use XML attributes for.
@see XStream#useAttributeFor(Class)"
67299ba101063176805e7e8d,Return the readerIdleTime that was given when instance this class in milliseconds.
67299ba101063176805e7e8e,"Initialize a builder with the name and parameter types of a method.
@param name the name of the method
@param parameterTypes the parameter types of the method
@return a builder"
67299ba101063176805e7e8f,Make a {@linkplain NumberFieldMapper.NumberFieldType} for a {@code double}.
67299ba101063176805e7e90,Creates a setting where the allowed values are defined as enum constants. All enum constants must be uppercase.
67299ba101063176805e7e91,"Set the strategy to use to determine message codes for violations.
<p>Default is a DefaultMessageCodesResolver."
67299ba101063176805e7e92,"Specify a typed root object to resolve against.
<p>Default is none, expecting an object argument at evaluation time.
@see org.springframework.expression.Expression#getValue(EvaluationContext)
@see org.springframework.expression.Expression#getValue(EvaluationContext, Object)"
67299ba101063176805e7e93,Creates a name from the given string.
67299ba101063176805e7e94,Get the first value
67299ba101063176805e7e95,"Specify the desired number of fraction digits.
Default is 2."
67299ba101063176805e7e96,Creates a new physical operation with the given source and layout.
67299ba101063176805e7e97,"Creates needed directories.
@throws IOException if something went wrong"
67299ba101063176805e7e98,"@param channel the channel to write the enrichment data to
@throws IOException if unable to write the enrichment data"
67299ba101063176805e7e99,Get the instance of the held JobManager.
67299ba101063176805e7e9a,Set the STOMP message broker port.
67299ba101063176805e7e9b,Create a {@code ResolvableMethod} builder for the given handler class.
67299ba101063176805e7e9c,"Sets expandX, expandY, fillX, and fillY to 1."
67299ba101063176805e7e9d,"Adds an abstract type to the list of types on which a constructor is invoked in the basic
block."
67299ba101063176805e7e9e,"Executes the shard-level operation. This method is called once per shard serially on the receiving node.
This method should not throw an exception, but pass the exception to the listener instead."
67299ba101063176805e7e9f,Creates a phrase suggestion lookup query with the provided <code>field</code>
67299ba101063176805e7ea0,"Handle the given request.
@param request the request to handle
@return the response"
67299ba101063176805e7ea1,@return the number of bytes for the term based on the length and ordinal overhead
67299ba101063176805e7ea2,@return the name of the linked join field for documents of a specific parent type
67299ba101063176805e7ea3,Returns the first item.
67299ba101063176805e7ea4,"Sets the indices to be closed
@param indices the indices to be closed
@return the request itself"
67299ba101063176805e7ea5,Returns true if all the given flags were passed to the constructor.
67299ba101063176805e7ea6,"Return a new {@link BuildRequest} with an updated application directory.
@param applicationDirectory the application directory
@return an updated build request"
67299ba101063176805e7ea7,Resolves the request. Throws an exception if the request cannot be resolved.
67299ba101063176805e7ea8,Set the name of the default theme.
67299ba101063176805e7ea9,@return Settings that are common to all filter plugins.
67299ba101063176805e7eaa,Translates the polygon's position by the specified horizontal and vertical amounts.
67299ba101063176805e7eab,"Called from page cache after new file mapping was performed
@param pagedFile newly mapped paged file"
67299ba101063176805e7eac,"Returns the number of remaining elements in this buffer, that is {@code limit - position}."
67299ba101063176805e7ead,Sets the require_alias flag
67299ba101063176805e7eae,Return whether this map is a constant value.
67299ba101063176805e7eaf,"Return the unsupported location reference.
@return the unsupported location reference"
67299ba101063176805e7eb0,Sets the maximum word length above which words will be ignored.
67299ba101063176805e7eb1,Set the value of the '{@code disabled}' attribute.
67299ba101063176805e7eb2,Sets the conditions that need to be met for the index to roll over
67299ba101063176805e7eb3,Creates an hourly schedule.
67299ba101063176805e7eb4,"Creates a new page, appending the given block to the existing blocks in this Page."
67299ba101063176805e7eb5,Returns a new array based char buffer with the specified capacity.
67299ba101063176805e7eb6,Format the thread pool info object for this executor.
67299ba101063176805e7eb7,Signifies that the execution of the query updates the schema.
67299ba101063176805e7eb8,Installs a mock filesystem for testing
67299ba101063176805e7eb9,"Return the initial delay, or {@code null} if none.
@since 6.0"
67299ba101063176805e7eba,"Return a new {@link BuildRequest} with an updated launch cache.
@param launchCache the cache
@return an updated build request"
67299ba101063176805e7ebb,"Reads line from user, returns null if end of stream is reached."
67299ba101063176805e7ebc,"Checks whether a word contains a sequence of 0's with no set bit, or 1's
with no unset bit."
67299ba101063176805e7ebd,"Set the {@link Marshaller} to use to serialize messages.
@param marshaller the message marshaller
@return a new builder instance.
@see WebServiceTemplate#setMarshaller(Marshaller)"
67299ba101063176805e7ebe,"Creates a concrete JMS message endpoint, internal to this factory."
67299ba101063176805e7ebf,Set the cache name(s) that this resolver should use.
