_id,Summary
67299dbda23f7e5639814e0e,Verifies the content of the {@link HttpRequest} that's internally created and passed through to the http client
67299dbda23f7e5639814e0f,Tracks one last definitive failure and returns to the caller by notifying the wrapped listener
67299dbda23f7e5639814e10,"Tracks an exception, which caused a retry hence we should not return yet to the caller"
67299dbda23f7e5639814e11,Customizes the client settings to use the same username / password that is configured in Docke.r
67299dbda23f7e5639814e12,"Run the provided string as a shell script. On Linux the {@code bash -c [script]} syntax will be used, and on Windows
the {@code powershell.exe -Command [script]} syntax will be used. Throws an exception if the exit code of the script is nonzero"
67299dbda23f7e5639814e13,"Runs an Elasticsearch Docker container, and checks that it has started up
successfully."
67299dbda23f7e5639814e14,"Runs an Elasticsearch Docker container, and checks that it has started up
successfully."
67299dbda23f7e5639814e15,Create parameters for this parameterized test.
67299dbda23f7e5639814e16,"Mark all initializing shards on the given node as started, then perform a reroute (which may start some other shards initializing)."
67299dbda23f7e5639814e17,Connect to the specified node with the default connection profile
67299dbda23f7e5639814e18,"Stops a random data node in the cluster. Returns true if a node was found to stop, false otherwise."
67299dbda23f7e5639814e19,Sets up a mock TransportService that can answer calls to TransportService.getThreadPool().executor(String).
67299dbda23f7e5639814e1a,"Simulate rewriting the query builder exclusively on the data node.
<br/>
<br/>
NOTE: This simulation does not reflect how the query builder will be rewritten in production.
See {@link AbstractQueryTestCase#rewriteQuery(AbstractQueryBuilder, QueryRewriteContext, SearchExecutionContext)} for a more accurate
simulation."
67299dbda23f7e5639814e1b,Runs the code block for 10 seconds waiting for no assertion to trip.
67299dbda23f7e5639814e1c,Returns a port range for this JVM according to its Gradle worker ID. See also [NOTE: Port ranges for tests].
67299dbda23f7e5639814e1d,"Returns non-deterministic FIPS SecureRandom DEFAULT/BCFIPS instance. Seeded.
@return Non-deterministic FIPS SecureRandom DEFAULT/BCFIPS instance. Seeded.
@throws NoSuchAlgorithmException Exception if DEFAULT algorithm not found, such as missing BCFIPS provider."
67299dbda23f7e5639814e1e,Create a new index on the singleton node with empty index settings.
67299dbda23f7e5639814e1f,"Adds a rule that will cause ignores each send request, simulating an unresponsive node
and failing to connect once the rule was added."
67299dbda23f7e5639814e20,ensures the cluster is healthy after the disruption
67299dbda23f7e5639814e21,"Wait for outstanding tasks to complete. The specified admin client is used to check the outstanding tasks and this is done using
{@link ESTestCase#assertBusy(CheckedRunnable)} to give a chance to any outstanding tasks to complete."
67299dbda23f7e5639814e22,"Determines whether the system feature reset API should be invoked between tests. The default implementation is to reset
all feature states, deleting system indices, system associated indices, and system data streams."
67299dbda23f7e5639814e23,Returns the REST client settings used for admin actions like cleaning up after the test has completed.
67299dbda23f7e5639814e24,Updates the cluster with the provided settings (as persistent settings)
67299dbda23f7e5639814e25,Sends the given request to the test controller in {@link #controller()}.
67299dbda23f7e5639814e26,"Returns an appropriate method handle for a binary operator, based on promotion of the LHS and RHS arguments"
67299dbda23f7e5639814e27,"Returns a method handle to normalize the index into an array. This is what makes lists and arrays stored in {@code def} support
negative offsets.
@param receiverClass Class of the array to store the value in
@return a MethodHandle that accepts the receiver as first argument, the index as second argument, and returns the normalized index
  to use with array loads and array stores"
67299dbda23f7e5639814e28,"Iterates through the collection calling the given function for each item
but stopping once the first non-null result is found and returning that result.
If all results are null, null is returned."
67299dbda23f7e5639814e29,"Shortcut to visit a user expression node with additional checks common to most expression nodes. These
additional checks include looking for an escaped partial canonical type, an unexpected static type, and an
unexpected value type."
67299dbda23f7e5639814e2a,"Add an additional field if not null or empty
@param additionalFields  additional fields
@param property          property to add
@param value             value to add"
67299dbda23f7e5639814e2b,"Sets whether the query builder should ignore unmapped types (and run a
{@link MatchNoDocsQuery} in place of this query) or throw an exception if
the type is unmapped."
67299dbda23f7e5639814e2c,"Tests that any encoded value with that can that fits in the mantissa of
a double precision floating point can be round tripped through synthetic
source. Values that do not fit in the mantissa will get floating point
rounding errors."
67299dbda23f7e5639814e2d,Stop the server gracefully if possible
67299dbda23f7e5639814e2e,"Deletes a path, retrying if necessary."
67299dbda23f7e5639814e2f,"Does the equivalent of `cp -lr` and `chmod -r a-w` to save space and improve speed.
We remove write permissions to make sure files are note mistakenly edited ( e.x. the config file ) and changes
reflected across all copies. Permissions are retained to be able to replace the links."
67299dbda23f7e5639814e30,Register an OIDC client so we can generate a JWT in C2id (which only supports dynamic configuration).
67299dbda23f7e5639814e31,"Stop execution of watches on this node, do not try to reload anything, but still allow
manual watch execution, i.e. via the execute watch API"
67299dbda23f7e5639814e32,"clear out current allocation ids if not already happened
@return true, if existing allocation ids were cleaned out, false otherwise"
67299dbda23f7e5639814e33,"In case of an engine related error, we just log that we failed the add the watch to the trigger service.
No need to interact with the trigger service."
67299dbda23f7e5639814e34,"If the index operation happened on a watcher shard and is of doc type watcher, we will
remove the watch id from the trigger service"
67299dbda23f7e5639814e35,Filters the settings to only those settable by the user (using the update watcher settings API).
67299dbda23f7e5639814e36,Tries to put an watch execution class for a watch in the current executions
67299dbda23f7e5639814e37,"Pause the execution of the watcher executor, and empty the state.
Pausing means, that no new watch executions will be done unless this pausing is explicitly unset.
This is important when watcher is stopped, so that scheduled watches do not accidentally get executed.
This should not be used when we need to reload watcher based on some cluster state changes, then just calling
{@link #clearExecutionsAndQueue(Runnable)} is the way to go"
67299dbda23f7e5639814e38,Empty the currently queued tasks and wait for current executions to finish.
67299dbda23f7e5639814e39,"Create a tuple of triggered watches and their corresponding contexts, usable for sync and async processing"
67299dbda23f7e5639814e3a,"This clears out the current executions and sets new empty current executions
This is needed, because when this method is called, watcher keeps running, so sealing executions would be a bad idea"
67299dbda23f7e5639814e3b,"Method to get indexmetadata of a index, that potentially is behind an alias or data stream."
67299dbda23f7e5639814e3c,"Checks whether the given time is the same or after the scheduled time of this schedule. If so, the scheduled time is
returned a new scheduled time is computed and set. Otherwise (the given time is before the scheduled time), {@code -1}
is returned."
