_id,HelpComSummary
67299dbda23f7e5639814e0e,"Tests the internal HTTP request handling by verifying that the generated requests match the expected requests for various HTTP methods, including checking URIs, request types, headers, and entities."
67299dbda23f7e5639814e0f,Handles a definitive failure by tracking the exception and notifying the response listener of the failure.
67299dbda23f7e5639814e10,"Tracks a failure by updating the current exception and adding the previous exception as suppressed."
67299dbda23f7e5639814e11,"Returns the settings for the REST client, including the basic authentication header configured with the provided username and password."
67299dbda23f7e5639814e12,Runs the provided script using the appropriate command for the current platform and returns the execution result.
67299dbda23f7e5639814e13,Runs an Elasticsearch container using the specified distribution and returns the installation details.
67299dbda23f7e5639814e14,"Runs an Elasticsearch container using the specified distribution and Docker run configuration. This method initiates the container, waits for Elasticsearch to start, and returns the installation details."
67299dbda23f7e5639814e15,Creates an iterable collection of test parameters using the provided `NamedXContentRegistry`.
67299dbda23f7e5639814e16,Starts initializing shards on a given routing node and triggers a reroute in the cluster state.
67299dbda23f7e5639814e17,Establishes a connection to the specified discovery node using the provided transport service.
67299dbda23f7e5639814e18,"Stops a random data node in the cluster if available, ensuring the cluster is open before attempting to stop the node."
67299dbda23f7e5639814e19,"Sets up a mocked `TransportService` with a mocked `ThreadPool`, configuring the thread pool to use direct executor services for execution."
67299dbda23f7e5639814e1a,Rewrites the given query using the provided context and ensures the rewritten query is serializable.
67299dbda23f7e5639814e1b,"Executes a code block repeatedly until it succeeds or a specified timeout is reached, throwing an exception if the code block does not succeed within the timeout period."
67299dbda23f7e5639814e1c,"Returns a string representation of the port range allocated for a worker, ensuring it falls within the valid private port range."
67299dbda23f7e5639814e1d,"Returns a non-deterministic SecureRandom instance configured for FIPS compliance, seeded with a random 32-byte array."
67299dbda23f7e5639814e1e,Creates an index with the specified name using default settings.
67299dbda23f7e5639814e1f,Adds an unresponsive rule for all transport addresses associated with the given transport service for a specified duration.
67299dbda23f7e5639814e20,"Ensures that the given test cluster is in a healthy state by verifying that there are no active disruptions, confirming the expected number of nodes, and ensuring all nodes are fully connected."
67299dbda23f7e5639814e21,"Waits for all pending tasks on the specified RestClient to complete, excluding any tasks filtered by the default task filter."
67299dbda23f7e5639814e22,Checks if the feature states can be reset based on the cluster's support for feature state reset and the status of machine learning (ML) features.
67299dbda23f7e5639814e23,"Returns the settings for the REST admin client, defaulting to the same settings as the REST client, which includes basic authentication with admin credentials."
67299dbda23f7e5639814e24,"Updates the cluster settings using the provided `Settings` object, potentially throwing an `IOException` if the update fails."
67299dbda23f7e5639814e25,"Dispatches a REST request by creating a channel and stashing the current thread context. This method ensures that the request is processed within a preserved context and that resources are properly released after the request is handled."
67299dbda23f7e5639814e26,"Looks up a binary operator method handle for the given classes and operator name, promoting primitive types as necessary."
67299dbda23f7e5639814e27,"Determines the appropriate method handle for normalizing index access based on the type of the receiver class, supporting arrays, maps, and lists."
67299dbda23f7e5639814e28,"Finds and returns the first non-null result obtained by applying a specified function to elements in a given collection, or returns null if no such result is found."
67299dbda23f7e5639814e29,"Checks the provided user expression node within the given semantic scope, ensuring it meets specific conditions related to type decorations, and throws detailed exceptions if any condition is violated."
67299dbda23f7e5639814e2a,Adds an additional field to the provided map if the specified property is present and the value is non-empty.
67299dbda23f7e5639814e2b,Sets whether unmapped fields should be ignored in the query.
67299dbda23f7e5639814e2c,Tests the encoding and decoding process of a scaled float value to ensure that the original encoded value is accurately reconstructed after decoding and re-encoding using a randomly generated scaling factor and encoded value.
67299dbda23f7e5639814e2d,"Stops the APM server gracefully, ensuring that the server instance is properly terminated and set to null."
67299dbda23f7e5639814e2e,"Deletes the specified file or directory, retrying the operation if necessary, until successful or the maximum retry limit is reached."
67299dbda23f7e5639814e2f,"Synchronizes the contents of the source directory with the destination directory by creating hard links for files, ensuring that the directory structure is replicated."
67299dbda23f7e5639814e30,"Registers a client with a randomly generated client ID, secret, and redirect URI for testing purposes before any test methods are executed."
67299dbda23f7e5639814e31,"Pauses the execution of tasks and logs the reason along with the number of cancelled queued tasks."
67299dbda23f7e5639814e32,Clears the allocation IDs by setting the previous shard routings to an empty list and returns whether any IDs were cleared.
67299dbda23f7e5639814e33,"Logs a debug message if the index operation on a watch document fails, indicating the failure to add the watch to the trigger service."
67299dbda23f7e5639814e34,Removes a watch document from the trigger service if it belongs to the specified shard index before deletion.
67299dbda23f7e5639814e35,"Filters the provided settings to include only those that are allowed to be set, based on predefined allowed setting keys."
67299dbda23f7e5639814e36,"Registers a new execution with the given ID if the current executions are not sealed, returning true if the execution was successfully registered and false if an execution with the same ID already exists."
67299dbda23f7e5639814e37,"Pauses the current execution by setting the paused state to true and clears the execution queue, invoking the provided listener upon stopping. Returns the number of tasks that were cancelled from the queue."
67299dbda23f7e5639814e38,"Clears the current executions and drains the task queue, invoking the provided listener once the executions are cleared. Returns the number of tasks that were cancelled and removed from the queue."
67299dbda23f7e5639814e39,Creates a tuple containing lists of triggered watches and their corresponding execution contexts from a collection of trigger events.
67299dbda23f7e5639814e3a,"Clears the current executions and asynchronously waits for them to complete, invoking the provided listener once all executions have finished."
67299dbda23f7e5639814e3b,"Retrieves the concrete index metadata for a given index name from the provided metadata, handling alias resolution and write index designation."
67299dbda23f7e5639814e3c,"Checks if the given time is before the scheduled time and updates the scheduled time to the next occurrence if necessary, returning the previous scheduled time."
67299dbda23f7e5639814e3d,"Removes an entry from the provided map by its key and attempts to cast the removed value to the specified type, throwing an exception if the type does not match."
67299dbda23f7e5639814e3e,Moves the model identifier from task settings to service settings if it is not already present in the service settings.
67299dbda23f7e5639814e3f,Parses the provided XContentParser to position it at the token immediately following the specified field name.
67299dbda23f7e5639814e40,"Calculates the time required to reserve a specified number of tokens, returning the duration in microseconds."
67299dbda23f7e5639814e41,"Reserves a specified number of tokens and returns the time value indicating how long to wait for the reservation to be fulfilled, measured in microseconds."
67299dbda23f7e5639814e42,Tests that the shard status is marked as complete on non-data nodes after initiating a shutdown process on a master-only node.
67299dbda23f7e5639814e43,"Synchronously renews a retention lease for a specified leader shard and retention lease ID, returning an Optional containing a RetentionLeaseNotFoundException if the lease is not found."
67299dbda23f7e5639814e44,Validates that the leader and follower index settings are identical after filtering out any settings that are allowed to differ.
67299dbda23f7e5639814e45,"Returns a view of the specified list based on the defined offset and limit constraints."
67299dbda23f7e5639814e46,Determines if there are any candidates available for stages following the specified stage.
67299dbda23f7e5639814e47,"Extracts a substring from the given string that is located between two specified substrings, with options for greedy matching and case insensitivity."
67299dbda23f7e5639814e48,Marks an error during the retrieval of a policy for a specified index and records this error in the step information for that index.
67299dbda23f7e5639814e49,Queues an ILM (Index Lifecycle Management) history item for asynchronous indexing if ILM history recording is enabled.
67299dbda23f7e5639814e4a,"Identifies the optimal set of rollup jobs that can satisfy the given aggregation source."
67299dbda23f7e5639814e4b,"Freezes the current time of the ClockMock instance, setting it to the current instant. This method is synchronized to ensure thread safety."
67299dbda23f7e5639814e4c,"Unfreezes the clock by resetting the wrapped clock to the system clock with the current zone. This method is synchronized to ensure thread safety during the update of the wrapped clock."
67299dbda23f7e5639814e4d,Fast forwards the current time by the specified number of seconds.
67299dbda23f7e5639814e4e,Rewinds the current time by the specified number of seconds.
67299dbda23f7e5639814e4f,Determines if the current status is active by evaluating whether the license status has started or is relocating.
67299dbda23f7e5639814e50,Checks if the feature is allowed and starts tracking its usage if permitted.
67299dbda23f7e5639814e51,Checks if the current feature is permitted by the license state without tracking usage.
67299dbda23f7e5639814e52,Updates the last checked timestamp and conditionally updates the last met condition timestamp or resets the acknowledgment status of actions based on the provided condition.
67299dbda23f7e5639814e53,Creates a prepared rounding instance using the specified interval and time zone.
67299dbda23f7e5639814e54,"Determines if the given expression is valid by attempting to validate it, returning `true` if validation succeeds and `false` if it throws an `IllegalArgumentException`."
67299dbda23f7e5639814e55,"Creates a response by indexing the provided response object with the specified document ID and headers, and notifies the provided listener upon completion."
67299dbda23f7e5639814e56,"Retrieves the response for a given asynchronous execution ID, optionally restoring response headers, and notifies the provided listener upon completion."
67299dbda23f7e5639814e57,Sets the internal user for authentication using the specified transport version and node name.
67299dbda23f7e5639814e58,"Checks if the specified action is allowed based on the group's privileges, considering special handling for mapping update actions."
