id,repo,method,docstring,path,helpers,gptOutput
6621cd80cda9bd4817b10f64,tony19/logback-android,"public Map<String, String> getEffectiveConverterMap() {
    Map<String, String> effectiveMap = new HashMap<String, String>();

    // add the least specific map fist
    Map<String, String> defaultMap = getDefaultConverterMap();
    if (defaultMap != null) {
      effectiveMap.putAll(defaultMap);
    }

    // contextMap is more specific than the default map
    Context context = getContext();
    if (context != null) {
      @SuppressWarnings(""unchecked"")
      Map<String, String> contextMap = (Map<String, String>) context
          .getObject(CoreConstants.PATTERN_RULE_REGISTRY);
      if (contextMap != null) {
        effectiveMap.putAll(contextMap);
      }
    }
    return effectiveMap;
  }",Returns a map where the default converter map is merged with the map contained in the context .,logback-android/src/main/java/ch/qos/logback/core/html/HTMLLayoutBase.java,"[{'Syntax': 'getDefaultConverterMap()', 'FunctionName': 'getDefaultConverterMap', 'ArgsCount': 0, 'MethodBody': 'public  Map<String, String> getDefaultConverterMap() {\n    return converterMap;\n  }', 'FileName': '/tony19/logback-android/logback-android/src/test/java/ch/qos/logback/core/pattern/parser/SamplePatternLayout.java'}, {'Syntax': 'getContext()', 'FunctionName': 'getContext', 'ArgsCount': 0, 'MethodBody': 'abstract public Context getContext();', 'FileName': '/tony19/logback-android/logback-android/src/test/java/ch/qos/logback/core/pattern/parser/AbstractPatternLayoutBaseTest.java'}, {'Syntax': 'context\n          .getObject(CoreConstants.PATTERN_RULE_REGISTRY)', 'FunctionName': 'getObject', 'ArgsCount': 1, 'MethodBody': 'public Object getObject(String key) {\n    return objectMap.get(key);\n  }', 'FileName': '/tony19/logback-android/logback-android/src/main/java/ch/qos/logback/core/ContextBase.java'}]"
6621cd81cda9bd4817b10f65,Unidata/thredds,"private ArrayDouble.D3 addStagger(ArrayDouble.D3 array, int dimIndex) {

    //ADD: assert 0<=dimIndex<=2

    int[] shape = array.getShape();
    int[] newShape = new int[3];
    System.arraycopy(shape, 0, newShape, 0, 3);

    newShape[dimIndex]++;
    int ni = newShape[0];
    int nj = newShape[1];
    int nk = newShape[2];
    ArrayDouble.D3 newArray = new ArrayDouble.D3(ni, nj, nk);
    //Index newIndex = newArray.getIndex();

    //extract 1d array to be extended
    int n = shape[dimIndex];  //length of extracted array
    double[] d = new double[n];  //tmp array to hold extracted values
    int[] eshape = new int[3];       //shape of extracted array
    int[] neweshape = new int[3];  //shape of new array slice to write into
    for (int i = 0; i < 3; i++) {
      eshape[i] = (i == dimIndex)
          ? n
          : 1;
      neweshape[i] = (i == dimIndex)
          ? n + 1
          : 1;
    }
    int[] origin = new int[3];

    try {

      //loop through the other 2 dimensions and ""extrapinterpolate"" the other
      for (int i = 0; i < ((dimIndex == 0)
          ? 1
          : ni); i++) {
        for (int j = 0; j < ((dimIndex == 1)
            ? 1
            : nj); j++) {
          for (int k = 0; k < ((dimIndex == 2)
              ? 1
              : nk); k++) {
            origin[0] = i;
            origin[1] = j;
            origin[2] = k;
            IndexIterator it = array.section(origin,
                eshape).getIndexIterator();
            for (int l = 0; l < n; l++) {
              d[l] = it.getDoubleNext();  //get the original values
            }
            double[] d2 = extrapinterpolate(d);  //compute new values
            //define slice of new array to write into
            IndexIterator newit =
                newArray.section(origin,
                    neweshape).getIndexIterator();
            for (int l = 0; l < n + 1; l++) {
              newit.setDoubleNext(d2[l]);
            }
          }
        }
      }
    } catch (InvalidRangeException e) {
      //ADD: report error?
      return null;
    }

    return newArray;
  }",Add 1 to the size of the array for the given dimension . Use linear average and interpolation to fill in the values .,cdm/src/main/java/ucar/unidata/geoloc/vertical/WRFEta.java,[]
6621cd81cda9bd4817b10f66,streamsets/datacollector,"@SuppressWarnings(""unchecked"")
  public static Map<String, String> deserializeOffsetMap(String lastSourceOffset) throws IOException {
    Map<String, String> offsetMap;
    if (lastSourceOffset == null || lastSourceOffset.isEmpty()) {
      offsetMap = new HashMap<>();
    } else {
      offsetMap = JSON_MAPPER.readValue(lastSourceOffset, Map.class);
    }
    return offsetMap;
  }",Deserialize String offset to Map of table to offset,stagesupport/src/main/java/com/streamsets/pipeline/lib/util/OffsetUtil.java,[]
6621cd81cda9bd4817b10f67,abmargb/jamppa,"public void addPacketInterceptor(PacketInterceptor packetInterceptor,
            PacketFilter packetFilter) {
        if (packetInterceptor == null) {
            throw new NullPointerException(""Packet interceptor is null."");
        }
        interceptors.put(packetInterceptor, new InterceptorWrapper(
                packetInterceptor, packetFilter));
    }",Registers a packet interceptor with this connection . The interceptor will be invoked every time a packet is about to be sent by this connection . Interceptors may modify the packet to be sent . A packet filter determines which packets will be delivered to the interceptor .,src/main/java/org/jivesoftware/smack/Connection.java,"[{'Syntax': 'interceptors.put(packetInterceptor, new InterceptorWrapper(\n                packetInterceptor, packetFilter))', 'FunctionName': 'put', 'ArgsCount': 2, 'MethodBody': 'public synchronized V put(K key, V value) {\n        V oldValue = null;\n        // Delete an old entry if it exists.\n        if (map.containsKey(key)) {\n            oldValue = remove(key, true);\n        }\n\n        CacheObject<V> cacheObject = new CacheObject<V>(value);\n        map.put(key, cacheObject);\n        // Make an entry into the cache order list.\n        // Store the cache order list entry so that we can get back to it\n        // during later lookups.\n        cacheObject.lastAccessedListNode = lastAccessedList.addFirst(key);\n        // Add the object to the age list\n        LinkedListNode ageNode = ageList.addFirst(key);\n        ageNode.timestamp = System.currentTimeMillis();\n        cacheObject.ageListNode = ageNode;\n\n        // If cache is too full, remove least used cache entries until it is not\n        // too full.\n        cullCache();\n\n        return oldValue;\n    }', 'FileName': '/abmargb/jamppa/src/main/java/org/jivesoftware/smack/util/Cache.java'}]"
6621cd81cda9bd4817b10f68,rupertlssmith/lojix,"public static int getCharacterCountDecimal(long integerValue, int scale)
    {
        boolean isNeg = integerValue < 0;

        // Work out how many digits will be needed for the number, adding space for the minus sign, the decimal
        // point and leading zeros if needed.
        int totalDigits = BitHackUtils.getCharacterCountInt64(integerValue);
        int totalLength = totalDigits;

        if (isNeg)
        {
            totalDigits--; // Minus sign already accounted for.
        }

        if (scale > 0)
        {
            totalLength++; // For the decimal point.

            if (scale >= totalDigits)
            {
                // For the leading zeros (+ 1 for the zero before decimal point).
                totalLength += (scale - totalDigits) + 1;
            }
        }
        else
        {
            // Add a zero for each negative point in scale
            totalLength -= scale;
        }

        return totalLength;
    }",Calculates the number of ASCII characters that will be needed to represent a specified signed decimal number .,lojix/power_model/src/main/com/thesett/aima/attribute/time/BitHackUtils.java,"[{'Syntax': 'BitHackUtils.getCharacterCountInt64(integerValue)', 'FunctionName': 'getCharacterCountInt64', 'ArgsCount': 1, 'MethodBody': 'public static int getCharacterCountInt64(long value)\n    {\n        if (value >= 0)\n        {\n            return getCharacterCountUInt64(value);\n        }\n        else if (value == Long.MIN_VALUE)\n        {\n            return getCharacterCountUInt64(Long.MAX_VALUE) + 1;\n        }\n        else\n        {\n            return getCharacterCountUInt64(-value) + 1;\n        }\n    }', 'FileName': '/rupertlssmith/lojix/lojix/power_model/src/main/com/thesett/aima/attribute/time/BitHackUtils.java'}]"
6621cd81cda9bd4817b10f69,real-logic/aeron,"public static boolean isActive(final CountersReader countersReader, final int counterId, final long recordingId)
    {
        final DirectBuffer buffer = countersReader.metaDataBuffer();

        if (countersReader.getCounterState(counterId) == RECORD_ALLOCATED)
        {
            final int recordOffset = CountersReader.metaDataOffset(counterId);

            return
                buffer.getInt(recordOffset + TYPE_ID_OFFSET) == RECORDING_POSITION_TYPE_ID &&
                buffer.getLong(recordOffset + KEY_OFFSET + RECORDING_ID_OFFSET) == recordingId;
        }

        return false;
    }",Is the recording counter still active .,aeron-archive/src/main/java/io/aeron/archive/status/RecordingPos.java,"[{'Syntax': 'countersReader.metaDataBuffer()', 'FunctionName': 'metaDataBuffer', 'ArgsCount': 0, 'MethodBody': 'public UnsafeBuffer metaDataBuffer()\n    {\n        return logMetaDataBuffer;\n    }', 'FileName': '/real-logic/aeron/aeron-client/src/main/java/io/aeron/LogBuffers.java'}]"
6621cd81cda9bd4817b10f6a,phax/ph-genericode,"public static boolean isKeyColumn (@Nonnull final ColumnSet aColumnSet, @Nullable final String sColumnID)
  {
    if (sColumnID != null)
      for (final Key aKey : getAllKeys (aColumnSet))
        for (final KeyColumnRef aColumnRef : aKey.getColumnRef ())
          if (aColumnRef.getRef () instanceof Column)
            if (((Column) aColumnRef.getRef ()).getId ().equals (sColumnID))
              return true;
    return false;
  }",Check if the passed column ID is a key column in the specified column set,src/main/java/com/helger/genericode/Genericode10Helper.java,"[{'Syntax': 'getAllKeys (aColumnSet)', 'FunctionName': 'getAllKeys', 'ArgsCount': 1, 'MethodBody': '@Nonnull\n  @ReturnsMutableCopy\n  public static ICommonsList <Key> getAllKeys (@Nonnull final ColumnSet aColumnSet)\n  {\n    final ICommonsList <Key> ret = new CommonsArrayList <> ();\n    getAllKeys (aColumnSet, ret);\n    return ret;\n  }', 'FileName': '/phax/ph-genericode/src/main/java/com/helger/genericode/Genericode04Helper.java'}]"
6621cd81cda9bd4817b10f6b,orientechnologies/orientdb,"public Set<String> getClustersOwnedByServer(final String iNodeName) {
    final Set<String> clusters = new HashSet<String>();
    for (String cl : getClusterNames()) {
      if (iNodeName.equals(getClusterOwner(cl)))
        clusters.add(cl);
    }
    return clusters;
  }",Returns the set of clusters where server is the owner .,server/src/main/java/com/orientechnologies/orient/server/distributed/ODistributedConfiguration.java,"[{'Syntax': 'getClusterNames()', 'FunctionName': 'getClusterNames', 'ArgsCount': 0, 'MethodBody': 'public Set<String> getClusterNames() {\n    stateLock.readLock().lock();\n    try {\n\n      return new HashSet<String>(clusterMap.keySet());\n\n    } finally {\n      stateLock.readLock().unlock();\n      ;\n    }\n  }', 'FileName': '/orientechnologies/orientdb/client/src/main/java/com/orientechnologies/orient/client/remote/OStorageRemote.java'}, {'Syntax': 'iNodeName.equals(getClusterOwner(cl))', 'FunctionName': 'equals', 'ArgsCount': 1, 'MethodBody': '@Override\n    public boolean equals(Object obj) {\n      return obj != null\n          && obj instanceof ODocumentSchemalessBinarySerializationTest.Custom\n          && Arrays.equals(bytes, ((ODocumentSchemalessBinarySerializationTest.Custom) obj).bytes);\n    }', 'FileName': '/orientechnologies/orientdb/core/src/test/java/com/orientechnologies/orient/core/record/impl/ODocumentSerializerDeltaTest.java'}, {'Syntax': 'getClusterOwner(cl)', 'FunctionName': 'getClusterOwner', 'ArgsCount': 1, 'MethodBody': ""public String getClusterOwner(final String iClusterName) {\n    String owner;\n\n    final ODocument clusters = getConfiguredClusters();\n\n    // GET THE CLUSTER CFG\n    final ODocument cfg = iClusterName != null ? (ODocument) clusters.field(iClusterName) : null;\n\n    if (cfg != null) {\n      owner = cfg.field(OWNER);\n      if (owner != null) return owner;\n\n      final List<String> serverList = cfg.field(SERVERS);\n      if (serverList != null && !serverList.isEmpty()) {\n        // RETURN THE FIRST ONE\n        owner = serverList.get(0);\n        if (NEW_NODE_TAG.equals(owner) && serverList.size() > 1)\n          // DON'T RETURN <NEW_NODE>\n          owner = serverList.get(1);\n      }\n    } else\n      // RETURN THE OWNER OF *\n      return getClusterOwner(ALL_WILDCARD);\n\n    return owner;\n  }"", 'FileName': '/orientechnologies/orientdb/server/src/main/java/com/orientechnologies/orient/server/distributed/ODistributedConfiguration.java'}, {'Syntax': 'clusters.add(cl)', 'FunctionName': 'add', 'ArgsCount': 1, 'MethodBody': 'public void add(OResultInternal item) {\n    currentPage.add(item);\n  }', 'FileName': '/orientechnologies/orientdb/client/src/main/java/com/orientechnologies/orient/client/remote/message/ORemoteResultSet.java'}]"
6621cd81cda9bd4817b10f6c,cglib/cglib,"public void mergeSort(int index, int lo, int hi, Comparator cmp) {
        chooseComparer(index, cmp);
        super.mergeSort(lo, hi - 1);
    }",Sort the arrays using an in - place merge sort .,cglib/src/main/java/net/sf/cglib/util/ParallelSorter.java,"[{'Syntax': 'chooseComparer(index, cmp)', 'FunctionName': 'chooseComparer', 'ArgsCount': 2, 'MethodBody': 'private void chooseComparer(int index, Comparator cmp) {\n        Object array = a[index];\n        Class type = array.getClass().getComponentType();\n        if (type.equals(Integer.TYPE)) {\n            comparer = new IntComparer((int[])array);\n        } else if (type.equals(Long.TYPE)) {\n            comparer = new LongComparer((long[])array);\n        } else if (type.equals(Double.TYPE)) {\n            comparer = new DoubleComparer((double[])array);\n        } else if (type.equals(Float.TYPE)) {\n            comparer = new FloatComparer((float[])array);\n        } else if (type.equals(Short.TYPE)) {\n            comparer = new ShortComparer((short[])array);\n        } else if (type.equals(Byte.TYPE)) {\n            comparer = new ByteComparer((byte[])array);\n        } else if (cmp != null) {\n            comparer = new ComparatorComparer((Object[])array, cmp);\n        } else {\n            comparer = new ObjectComparer((Object[])array);\n        } \n    }', 'FileName': '/cglib/cglib/cglib/src/main/java/net/sf/cglib/util/ParallelSorter.java'}, {'Syntax': 'super.mergeSort(lo, hi - 1)', 'FunctionName': 'mergeSort', 'ArgsCount': 2, 'MethodBody': 'public void mergeSort(int index, Comparator cmp) {\n        mergeSort(index, 0, len(), cmp);\n    }', 'FileName': '/cglib/cglib/cglib/src/main/java/net/sf/cglib/util/ParallelSorter.java'}]"
6621cd81cda9bd4817b10f6d,real-logic/aeron,"public static void main(final String[] args)
    {
        loadPropertiesFiles(args);

        final ShutdownSignalBarrier barrier = new ShutdownSignalBarrier();
        final MediaDriver.Context ctx = new MediaDriver.Context();

        ctx.terminationHook(barrier::signal);

        try (MediaDriver ignore = MediaDriver.launch(ctx))
        {
            barrier.await();

            System.out.println(""Shutdown Driver..."");
        }
    }",Start Media Driver as a stand - alone process .,aeron-driver/src/main/java/io/aeron/driver/MediaDriver.java,"[{'Syntax': 'ctx.terminationHook(barrier::signal)', 'FunctionName': 'terminationHook', 'ArgsCount': 1, 'MethodBody': 'public Context terminationHook(final Runnable terminationHook)\n        {\n            this.terminationHook = terminationHook;\n            return this;\n        }', 'FileName': '/real-logic/aeron/aeron-cluster/src/main/java/io/aeron/cluster/ConsensusModule.java'}, {'Syntax': 'MediaDriver.launch(ctx)', 'FunctionName': 'launch', 'ArgsCount': 1, 'MethodBody': 'public static Archive launch(final Context ctx)\n    {\n        final Archive archive = new Archive(ctx);\n        if (ArchiveThreadingMode.INVOKER == ctx.threadingMode())\n        {\n            archive.conductorInvoker.start();\n        }\n        else\n        {\n            AgentRunner.startOnThread(archive.conductorRunner, ctx.threadFactory());\n        }\n\n        return archive;\n    }', 'FileName': '/real-logic/aeron/aeron-archive/src/main/java/io/aeron/archive/Archive.java'}, {'Syntax': 'barrier.await()', 'FunctionName': 'await', 'ArgsCount': 0, 'MethodBody': 'public void await() throws InterruptedException\n    {\n        synchronized (mutex)\n        {\n            while (null == result)\n            {\n                mutex.wait();\n            }\n        }\n\n        if (result instanceof Exception)\n        {\n            throw new RuntimeException((Exception)result);\n        }\n    }', 'FileName': '/real-logic/aeron/aeron-samples/src/main/java/io/aeron/samples/echo/ProvisioningMessage.java'}]"
6621cd81cda9bd4817b10f6e,ToastShaman/dropwizard-auth-jwt,"public void invalidateAll(Predicate<? super JwtContext> predicate) {
        cache.asMap().entrySet().stream()
            .map(entry -> entry.getValue().getKey())
            .filter(predicate::test)
            .map(JwtContext::getJwt)
            .forEach(cache::invalidate);
    }",Discards any cached principal for the collection of credentials satisfying the given predicate .,src/main/java/com/github/toastshaman/dropwizard/auth/jwt/CachingJwtAuthenticator.java,"[{'Syntax': 'cache.asMap().entrySet().stream()\n            .map(entry -> entry.getValue().getKey())\n            .filter(predicate::test)', 'FunctionName': 'filter', 'ArgsCount': 1, 'MethodBody': '@Override\n    public void filter(final ContainerRequestContext requestContext) throws IOException {\n        final Optional<String> optionalToken = getTokenFromCookieOrHeader(requestContext);\n\n        if (optionalToken.isPresent()) {\n            try {\n                final JwtContext jwtContext = verifyToken(optionalToken.get());\n                final Optional<P> principal = authenticator.authenticate(jwtContext);\n\n                if (principal.isPresent()) {\n                    requestContext.setSecurityContext(new SecurityContext() {\n\n                        @Override\n                        public Principal getUserPrincipal() {\n                            return principal.get();\n                        }\n\n                        @Override\n                        public boolean isUserInRole(String role) {\n                            return authorizer.authorize(principal.get(), role);\n                        }\n\n                        @Override\n                        public boolean isSecure() {\n                            return requestContext.getSecurityContext().isSecure();\n                        }\n\n                        @Override\n                        public String getAuthenticationScheme() {\n                            return SecurityContext.BASIC_AUTH;\n                        }\n\n                    });\n                    return;\n                }\n            } catch (InvalidJwtException ex) {\n                LOGGER.warn(""Error decoding credentials: "" + ex.getMessage(), ex);\n            } catch (AuthenticationException ex) {\n                LOGGER.warn(""Error authenticating credentials"", ex);\n                throw new InternalServerErrorException();\n            }\n        }\n\n        throw new WebApplicationException(unauthorizedHandler.buildResponse(prefix, realm));\n    }', 'FileName': '/ToastShaman/dropwizard-auth-jwt/src/main/java/com/github/toastshaman/dropwizard/auth/jwt/JwtAuthFilter.java'}]"
